"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 28 18:28:43 UTC 2021","Fri May 28 18:29:32 UTC 2021","49379","","EEM Complex","","","","Create new EEM Complex (example #3)",""
"passed","Fri May 28 18:36:13 UTC 2021","Fri May 28 18:36:40 UTC 2021","26797","","Graduation Project","","","","Edit graduation project topic (example #1)",""
"failed","Fri May 28 18:40:49 UTC 2021","Fri May 28 18:41:53 UTC 2021","64026","","EEM Complex","","","","Add file to EEM Complex section (example #1)",""
"passed","Fri May 28 18:31:23 UTC 2021","Fri May 28 18:31:54 UTC 2021","31609","","Interactive Book","","","","Add text to interactive book topic (example #2)",""
"passed","Fri May 28 18:35:15 UTC 2021","Fri May 28 18:35:58 UTC 2021","42189","","Interactive Book","","","","Add interactive book child topic (example #1)",""
"passed","Fri May 28 18:40:47 UTC 2021","Fri May 28 18:41:19 UTC 2021","32170","","Interactive Book","","","","Student cannot see hide interactive book (example #1)",""
"failed","Fri May 28 18:32:57 UTC 2021","Fri May 28 18:33:43 UTC 2021","45733","","Course Project","","","","Confirm student on course project topic (example #1)",""
"passed","Fri May 28 18:28:44 UTC 2021","Fri May 28 18:29:16 UTC 2021","32914","","Course Project","","","","Create new course project topic (example #2)",""
"passed","Fri May 28 18:40:31 UTC 2021","Fri May 28 18:41:01 UTC 2021","30167","","Graduation Project","","","","Delete graduation project topic (example #2)",""
"failed","Fri May 28 18:41:19 UTC 2021","Fri May 28 18:41:53 UTC 2021","33277","","Interactive Book","","","","Student cannot see hide interactive book (example #2)",""
"passed","Fri May 28 18:30:46 UTC 2021","Fri May 28 18:31:22 UTC 2021","36311","","Interactive Book","","","","Add text to interactive book topic (example #1)",""
"failed","Fri May 28 18:33:03 UTC 2021","Fri May 28 18:33:43 UTC 2021","39025","","Graduation Project","","","","Confirm student on graduation project topic (example #3)",""
"passed","Fri May 28 18:28:39 UTC 2021","Fri May 28 18:29:15 UTC 2021","36355","","Interactive Book","","","","Create new interactive book topic (example #2)",""
"passed","Fri May 28 18:37:10 UTC 2021","Fri May 28 18:37:53 UTC 2021","43076","","EEM Complex","","","","Add folder to EEM Complex section (example #1)",""
"passed","Fri May 28 18:34:37 UTC 2021","Fri May 28 18:35:10 UTC 2021","33447","","EEM Complex","","","","Open created EEM Complex (example #2)",""
"passed","Fri May 28 18:38:09 UTC 2021","Fri May 28 18:38:35 UTC 2021","26450","","Graduation Project","","","","Student see edited graduation Project topic (example #1)",""
"passed","Fri May 28 18:29:16 UTC 2021","Fri May 28 18:29:49 UTC 2021","32208","","Course Project","","","","Create new course project topic (example #3)",""
"passed","Fri May 28 18:32:04 UTC 2021","Fri May 28 18:32:34 UTC 2021","30098","","Graduation Project","","","","Confirm student on graduation project topic (example #1)",""
"failed","Fri May 28 18:34:02 UTC 2021","Fri May 28 18:34:37 UTC 2021","34813","","EEM Complex","","","","Open created EEM Complex (example #1)",""
"failed","Fri May 28 18:43:31 UTC 2021","Fri May 28 18:44:16 UTC 2021","44724","","Course Project","","","","Delete course project topic (example #1)",""
"failed","Fri May 28 18:27:51 UTC 2021","Fri May 28 18:28:43 UTC 2021","52781","","Course Project","","","","Create new course project topic (example #1)",""
"failed","Fri May 28 18:43:16 UTC 2021","Fri May 28 18:44:18 UTC 2021","61619","","EEM Complex","","","","Add file to EEM Complex section (example #4)",""
"passed","Fri May 28 18:34:49 UTC 2021","Fri May 28 18:35:13 UTC 2021","24659","","Graduation Project","","","","Assign graduation project topic to student (example #2)",""
"passed","Fri May 28 18:31:23 UTC 2021","Fri May 28 18:31:55 UTC 2021","32538","","EEM Complex","","","","User can see the Map EEM Complex (example #2)",""
"passed","Fri May 28 18:38:12 UTC 2021","Fri May 28 18:38:52 UTC 2021","39293","","Interactive Book","","","","Hide interactive book child topic (example #1)",""
"passed","Fri May 28 18:30:46 UTC 2021","Fri May 28 18:31:23 UTC 2021","36404","","EEM Complex","","","","User can see the Map EEM Complex (example #1)",""
"passed","Fri May 28 18:36:38 UTC 2021","Fri May 28 18:37:24 UTC 2021","46040","","Interactive Book","","","","Add interactive book child topic (example #3)",""
"failed","Fri May 28 18:41:53 UTC 2021","Fri May 28 18:42:24 UTC 2021","30811","","Interactive Book","","","","Student cannot see hide interactive book (example #3)",""
"passed","Fri May 28 18:34:24 UTC 2021","Fri May 28 18:34:49 UTC 2021","25122","","Graduation Project","","","","Assign graduation project topic to student (example #1)",""
"passed","Fri May 28 18:49:26 UTC 2021","Fri May 28 18:49:54 UTC 2021","28608","","Interactive Book","","","","Delete interactive book topic (example #3)",""
"passed","Fri May 28 18:35:58 UTC 2021","Fri May 28 18:36:38 UTC 2021","39836","","Interactive Book","","","","Add interactive book child topic (example #2)",""
"passed","Fri May 28 18:39:27 UTC 2021","Fri May 28 18:40:06 UTC 2021","38910","","Interactive Book","","","","Hide interactive book child topic (example #3)",""
"passed","Fri May 28 18:40:01 UTC 2021","Fri May 28 18:40:31 UTC 2021","30232","","Graduation Project","","","","Delete graduation project topic (example #1)",""
"passed","Fri May 28 18:38:35 UTC 2021","Fri May 28 18:38:59 UTC 2021","23567","","Graduation Project","","","","Student see edited graduation Project topic (example #2)",""
"passed","Fri May 28 18:41:01 UTC 2021","Fri May 28 18:41:30 UTC 2021","28959","","Graduation Project","","","","Delete graduation project topic (example #3)",""
"passed","Fri May 28 18:28:21 UTC 2021","Fri May 28 18:28:47 UTC 2021","25231","","Graduation Project","","","","Create new graduation project topic (example #2)",""
"passed","Fri May 28 18:39:39 UTC 2021","Fri May 28 18:40:14 UTC 2021","35521","","Course Project","","","","Edit course project topic (example #3)",""
"failed","Fri May 28 18:35:10 UTC 2021","Fri May 28 18:35:51 UTC 2021","40353","","EEM Complex","","","","Open created EEM Complex (example #3)",""
"failed","Fri May 28 18:33:08 UTC 2021","Fri May 28 18:33:42 UTC 2021","33811","","Interactive Book","","","","Student see interactive book content (example #1)",""
"passed","Fri May 28 18:29:15 UTC 2021","Fri May 28 18:29:56 UTC 2021","41171","","Interactive Book","","","","Create new interactive book topic (example #3)",""
"failed","Fri May 28 18:38:36 UTC 2021","Fri May 28 18:39:16 UTC 2021","39834","","EEM Complex","","","","Add folder to EEM Complex section (example #3)",""
"passed","Fri May 28 18:45:25 UTC 2021","Fri May 28 18:45:51 UTC 2021","26205","","EEM Complex","","","","Edit EEM Complex (example #1)",""
"failed","Fri May 28 18:38:52 UTC 2021","Fri May 28 18:39:27 UTC 2021","34898","","Interactive Book","","","","Hide interactive book child topic (example #2)",""
"failed","Fri May 28 18:34:08 UTC 2021","Fri May 28 18:34:39 UTC 2021","30311","","Interactive Book","","","","Student see interactive book content (example #3)",""
"passed","Fri May 28 18:44:16 UTC 2021","Fri May 28 18:44:53 UTC 2021","36926","","Course Project","","","","Delete course project topic (example #2)",""
"failed","Fri May 28 18:31:55 UTC 2021","Fri May 28 18:32:37 UTC 2021","41827","","EEM Complex","","","","User can see the Map EEM Complex (example #3)",""
"passed","Fri May 28 18:27:54 UTC 2021","Fri May 28 18:28:21 UTC 2021","26860","","Graduation Project","","","","Create new graduation project topic (example #1)",""
"passed","Fri May 28 18:33:42 UTC 2021","Fri May 28 18:34:08 UTC 2021","26798","","Interactive Book","","","","Student see interactive book content (example #2)",""
"passed","Fri May 28 18:37:53 UTC 2021","Fri May 28 18:38:36 UTC 2021","43094","","EEM Complex","","","","Add folder to EEM Complex section (example #2)",""
"passed","Fri May 28 18:44:17 UTC 2021","Fri May 28 18:44:52 UTC 2021","34846","","Interactive Book","","","","Delete interactive book child topic (example #3)",""
"failed","Fri May 28 18:49:25 UTC 2021","Fri May 28 18:50:00 UTC 2021","35329","","EEM Complex","","","","Delete EEM Complex (example #3)",""
"passed","Fri May 28 18:43:40 UTC 2021","Fri May 28 18:44:17 UTC 2021","36998","","Interactive Book","","","","Delete interactive book child topic (example #2)",""
"passed","Fri May 28 18:39:08 UTC 2021","Fri May 28 18:39:39 UTC 2021","30667","","Course Project","","","","Edit course project topic (example #2)",""
"passed","Fri May 28 18:32:37 UTC 2021","Fri May 28 18:33:11 UTC 2021","33539","","EEM Complex","","","","User can see the Map EEM Complex (example #4)",""
"failed","Fri May 28 18:46:11 UTC 2021","Fri May 28 18:46:48 UTC 2021","37183","","Interactive Book","","","","Edit interactive book topic (example #2)",""
"failed","Fri May 28 18:38:22 UTC 2021","Fri May 28 18:39:08 UTC 2021","45425","","Course Project","","","","Edit course project topic (example #1)",""
"passed","Fri May 28 18:27:56 UTC 2021","Fri May 28 18:28:39 UTC 2021","42110","","Interactive Book","","","","Create new interactive book topic (example #1)",""
"passed","Fri May 28 18:46:48 UTC 2021","Fri May 28 18:47:34 UTC 2021","46151","","Interactive Book","","","","Edit interactive book topic (example #3)",""
"passed","Fri May 28 18:48:55 UTC 2021","Fri May 28 18:49:26 UTC 2021","30589","","Interactive Book","","","","Delete interactive book topic (example #2)",""
"failed","Fri May 28 18:30:35 UTC 2021","Fri May 28 18:31:09 UTC 2021","33786","","Course Project","","","","Student select course project topic (example #1)",""
"passed","Fri May 28 18:45:34 UTC 2021","Fri May 28 18:46:11 UTC 2021","36383","","Interactive Book","","","","Edit interactive book topic (example #1)",""
"passed","Fri May 28 18:39:16 UTC 2021","Fri May 28 18:39:54 UTC 2021","37827","","EEM Complex","","","","Add folder to EEM Complex section (example #4)",""
"passed","Fri May 28 18:35:14 UTC 2021","Fri May 28 18:35:37 UTC 2021","23524","","Graduation Project","","","","Assign graduation project topic to student (example #3)",""
"passed","Fri May 28 18:28:16 UTC 2021","Fri May 28 18:28:43 UTC 2021","26726","","EEM Complex","","","","Create new EEM Complex (example #2)",""
