"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 27 22:04:40 UTC 2021","Thu May 27 22:05:17 UTC 2021","36463","","Interactive Book","","","","Edit interactive book topic (example #3)",""
"passed","Thu May 27 21:50:47 UTC 2021","Thu May 27 21:51:12 UTC 2021","24370","","EEM Complex","","","","User can see the Map EEM Complex (example #4)",""
"passed","Thu May 27 21:48:31 UTC 2021","Thu May 27 21:48:49 UTC 2021","17457","","Graduation Project","","","","Student select graduation project topic (example #3)",""
"failed","Thu May 27 21:49:14 UTC 2021","Thu May 27 21:49:51 UTC 2021","37412","","Graduation Project","","","","Confirm student on graduation project topic (example #1)",""
"passed","Thu May 27 21:56:50 UTC 2021","Thu May 27 21:57:05 UTC 2021","15393","","Graduation Project","","","","Student see edited graduation Project topic (example #3)",""
"passed","Thu May 27 21:46:13 UTC 2021","Thu May 27 21:46:48 UTC 2021","35018","","EEM Complex","","","","Create new EEM Complex (example #1)",""
"failed","Thu May 27 21:51:41 UTC 2021","Thu May 27 21:52:21 UTC 2021","39630","","Graduation Project","","","","Assign graduation project topic to student (example #1)",""
"failed","Thu May 27 21:49:15 UTC 2021","Thu May 27 21:49:57 UTC 2021","42096","","Course Project","","","","Student select course project topic (example #1)",""
"passed","Thu May 27 21:54:45 UTC 2021","Thu May 27 21:55:21 UTC 2021","35778","","EEM Complex","","","","Add folder to EEM Complex section (example #1)",""
"passed","Thu May 27 21:47:32 UTC 2021","Thu May 27 21:48:07 UTC 2021","35437","","Interactive Book","","","","Create new interactive book topic (example #3)",""
"failed","Thu May 27 21:58:35 UTC 2021","Thu May 27 21:58:54 UTC 2021","19570","","Graduation Project","","","","Delete graduation project topic (example #3)",""
"passed","Thu May 27 21:54:56 UTC 2021","Thu May 27 21:55:38 UTC 2021","41040","","Interactive Book","","","","Add interactive book child topic (example #3)",""
"failed","Thu May 27 22:01:17 UTC 2021","Thu May 27 22:02:00 UTC 2021","42835","","EEM Complex","","","","Edit EEM Complex (example #3)",""
"failed","Thu May 27 21:52:21 UTC 2021","Thu May 27 21:53:01 UTC 2021","40551","","Graduation Project","","","","Assign graduation project topic to student (example #2)",""
"failed","Thu May 27 22:02:49 UTC 2021","Thu May 27 22:03:36 UTC 2021","46629","","Course Project","","","","Delete course project topic (example #1)",""
"passed","Thu May 27 21:56:23 UTC 2021","Thu May 27 21:56:55 UTC 2021","31578","","Interactive Book","","","","Hide interactive book child topic (example #1)",""
"failed","Thu May 27 22:04:44 UTC 2021","Thu May 27 22:05:22 UTC 2021","38594","","EEM Complex","","","","Delete EEM Complex (example #3)",""
"passed","Thu May 27 21:47:00 UTC 2021","Thu May 27 21:47:24 UTC 2021","23520","","Graduation Project","","","","Create new graduation project topic (example #3)",""
"failed","Thu May 27 21:56:17 UTC 2021","Thu May 27 21:56:35 UTC 2021","17982","","Graduation Project","","","","Student see edited graduation Project topic (example #1)",""
"failed","Thu May 27 22:02:11 UTC 2021","Thu May 27 22:02:43 UTC 2021","32276","","Interactive Book","","","","Delete interactive book child topic (example #3)",""
"failed","Thu May 27 22:06:02 UTC 2021","Thu May 27 22:06:47 UTC 2021","44674","","Interactive Book","","","","Delete interactive book topic (example #1)",""
"passed","Thu May 27 21:56:55 UTC 2021","Thu May 27 21:57:29 UTC 2021","34052","","Interactive Book","","","","Hide interactive book child topic (example #2)",""
"passed","Thu May 27 21:47:13 UTC 2021","Thu May 27 21:47:45 UTC 2021","31818","","Course Project","","","","Create new course project topic (example #2)",""
"passed","Thu May 27 21:48:00 UTC 2021","Thu May 27 21:48:27 UTC 2021","26956","","EEM Complex","","","","Create new EEM Complex (example #4)",""
"failed","Thu May 27 22:04:10 UTC 2021","Thu May 27 22:04:40 UTC 2021","30520","","Interactive Book","","","","Edit interactive book topic (example #2)",""
"failed","Thu May 27 22:04:28 UTC 2021","Thu May 27 22:05:15 UTC 2021","47000","","Course Project","","","","Delete course project topic (example #3)",""
"passed","Thu May 27 21:54:19 UTC 2021","Thu May 27 21:54:40 UTC 2021","21073","","Graduation Project","","","","Edit graduation project topic (example #1)",""
"failed","Thu May 27 21:48:14 UTC 2021","Thu May 27 21:48:31 UTC 2021","17869","","Graduation Project","","","","Student select graduation project topic (example #2)",""
"passed","Thu May 27 21:55:22 UTC 2021","Thu May 27 21:55:44 UTC 2021","22126","","Graduation Project","","","","Edit graduation project topic (example #3)",""
"failed","Thu May 27 22:01:09 UTC 2021","Thu May 27 22:01:41 UTC 2021","31949","","Course Project","","","","Student see edited course project topic (example #2)",""
"passed","Thu May 27 21:56:33 UTC 2021","Thu May 27 21:57:04 UTC 2021","31284","","EEM Complex","","","","Add folder to EEM Complex section (example #4)",""
"failed","Thu May 27 21:59:16 UTC 2021","Thu May 27 21:59:40 UTC 2021","23905","","EEM Complex","","","","Add file to EEM Complex section (example #4)",""
"passed","Thu May 27 21:49:42 UTC 2021","Thu May 27 21:50:10 UTC 2021","27937","","EEM Complex","","","","User can see the Map EEM Complex (example #2)",""
"passed","Thu May 27 21:46:12 UTC 2021","Thu May 27 21:46:37 UTC 2021","25332","","Graduation Project","","","","Create new graduation project topic (example #1)",""
"failed","Thu May 27 21:52:38 UTC 2021","Thu May 27 21:53:11 UTC 2021","32631","","Interactive Book","","","","Student see interactive book content (example #3)",""
"failed","Thu May 27 22:01:39 UTC 2021","Thu May 27 22:02:11 UTC 2021","31624","","Interactive Book","","","","Delete interactive book child topic (example #2)",""
"failed","Thu May 27 21:48:52 UTC 2021","Thu May 27 21:49:38 UTC 2021","46191","","Interactive Book","","","","Add text to interactive book topic (example #1)",""
"failed","Thu May 27 21:53:16 UTC 2021","Thu May 27 21:54:01 UTC 2021","45164","","Course Project","","","","Confirm student on course project topic (example #3)",""
"failed","Thu May 27 21:49:51 UTC 2021","Thu May 27 21:50:29 UTC 2021","37489","","Graduation Project","","","","Confirm student on graduation project topic (example #2)",""
"failed","Thu May 27 21:54:40 UTC 2021","Thu May 27 21:55:22 UTC 2021","41725","","Graduation Project","","","","Edit graduation project topic (example #2)",""
"passed","Thu May 27 22:00:48 UTC 2021","Thu May 27 22:01:17 UTC 2021","29524","","EEM Complex","","","","Edit EEM Complex (example #2)",""
"passed","Thu May 27 21:55:21 UTC 2021","Thu May 27 21:55:52 UTC 2021","30917","","EEM Complex","","","","Add folder to EEM Complex section (example #2)",""
"failed","Thu May 27 21:59:48 UTC 2021","Thu May 27 22:00:20 UTC 2021","31370","","Interactive Book","","","","Student cannot see hide interactive book (example #3)",""
"passed","Thu May 27 21:51:53 UTC 2021","Thu May 27 21:52:24 UTC 2021","30869","","EEM Complex","","","","Open created EEM Complex (example #1)",""
"failed","Thu May 27 21:47:54 UTC 2021","Thu May 27 21:48:13 UTC 2021","19457","","Graduation Project","","","","Student select graduation project topic (example #1)",""
"failed","Thu May 27 21:49:57 UTC 2021","Thu May 27 21:50:29 UTC 2021","32355","","Course Project","","","","Student select course project topic (example #2)",""
"passed","Thu May 27 21:52:24 UTC 2021","Thu May 27 21:52:56 UTC 2021","31339","","EEM Complex","","","","Open created EEM Complex (example #2)",""
"failed","Thu May 27 22:01:41 UTC 2021","Thu May 27 22:02:13 UTC 2021","31816","","Course Project","","","","Student see edited course project topic (example #3)",""
"failed","Thu May 27 21:56:10 UTC 2021","Thu May 27 21:56:47 UTC 2021","36232","","Course Project","","","","Assign course project topic to student (example #3)",""
"failed","Thu May 27 21:51:53 UTC 2021","Thu May 27 21:52:17 UTC 2021","23782","","Interactive Book","","","","Student see interactive book content (example #1)",""
"failed","Thu May 27 22:01:00 UTC 2021","Thu May 27 22:01:39 UTC 2021","39404","","Interactive Book","","","","Delete interactive book child topic (example #1)",""
"passed","Thu May 27 21:53:47 UTC 2021","Thu May 27 21:54:22 UTC 2021","35112","","Interactive Book","","","","Add interactive book child topic (example #1)",""
"passed","Thu May 27 21:58:11 UTC 2021","Thu May 27 21:58:35 UTC 2021","23478","","Graduation Project","","","","Delete graduation project topic (example #2)",""
"passed","Thu May 27 21:46:58 UTC 2021","Thu May 27 21:47:32 UTC 2021","33846","","Interactive Book","","","","Create new interactive book topic (example #2)",""
"failed","Thu May 27 22:03:26 UTC 2021","Thu May 27 22:04:10 UTC 2021","43949","","Interactive Book","","","","Edit interactive book topic (example #1)",""
"failed","Thu May 27 21:52:56 UTC 2021","Thu May 27 21:53:37 UTC 2021","41201","","EEM Complex","","","","Open created EEM Complex (example #3)",""
"failed","Thu May 27 21:58:20 UTC 2021","Thu May 27 21:59:08 UTC 2021","47673","","Course Project","","","","Edit course project topic (example #2)",""
"passed","Thu May 27 22:00:19 UTC 2021","Thu May 27 22:00:48 UTC 2021","28461","","EEM Complex","","","","Edit EEM Complex (example #1)",""
"passed","Thu May 27 21:53:37 UTC 2021","Thu May 27 21:54:02 UTC 2021","24801","","EEM Complex","","","","Open created EEM Complex (example #4)",""
"passed","Thu May 27 21:57:29 UTC 2021","Thu May 27 21:58:01 UTC 2021","31656","","Interactive Book","","","","Hide interactive book child topic (example #3)",""
"failed","Thu May 27 21:59:08 UTC 2021","Thu May 27 21:59:47 UTC 2021","39154","","Course Project","","","","Edit course project topic (example #3)",""
"failed","Thu May 27 21:53:01 UTC 2021","Thu May 27 21:53:39 UTC 2021","37887","","Graduation Project","","","","Assign graduation project topic to student (example #3)",""
"failed","Thu May 27 21:59:17 UTC 2021","Thu May 27 21:59:48 UTC 2021","31879","","Interactive Book","","","","Student cannot see hide interactive book (example #2)",""
"failed","Thu May 27 22:05:22 UTC 2021","Thu May 27 22:06:08 UTC 2021","45582","","EEM Complex","","","","Delete EEM Complex (example #4)",""
"failed","Thu May 27 21:58:16 UTC 2021","Thu May 27 21:58:39 UTC 2021","23058","","EEM Complex","","","","Add file to EEM Complex section (example #2)",""
"failed","Thu May 27 21:51:46 UTC 2021","Thu May 27 21:52:25 UTC 2021","38201","","Course Project","","","","Confirm student on course project topic (example #1)",""
"passed","Thu May 27 21:49:13 UTC 2021","Thu May 27 21:49:42 UTC 2021","29190","","EEM Complex","","","","User can see the Map EEM Complex (example #1)",""
"failed","Thu May 27 21:58:39 UTC 2021","Thu May 27 21:59:16 UTC 2021","36546","","EEM Complex","","","","Add file to EEM Complex section (example #3)",""
"failed","Thu May 27 21:56:35 UTC 2021","Thu May 27 21:56:50 UTC 2021","15159","","Graduation Project","","","","Student see edited graduation Project topic (example #2)",""
"failed","Thu May 27 21:57:32 UTC 2021","Thu May 27 21:58:20 UTC 2021","47696","","Course Project","","","","Edit course project topic (example #1)",""
"failed","Thu May 27 21:50:25 UTC 2021","Thu May 27 21:51:03 UTC 2021","37932","","Interactive Book","","","","Add text to interactive book topic (example #3)",""
"failed","Thu May 27 21:52:17 UTC 2021","Thu May 27 21:52:38 UTC 2021","21552","","Interactive Book","","","","Student see interactive book content (example #2)",""
"passed","Thu May 27 22:07:17 UTC 2021","Thu May 27 22:07:43 UTC 2021","25549","","Interactive Book","","","","Delete interactive book topic (example #3)",""
"failed","Thu May 27 21:52:25 UTC 2021","Thu May 27 21:53:16 UTC 2021","51157","","Course Project","","","","Confirm student on course project topic (example #2)",""
"passed","Thu May 27 21:54:22 UTC 2021","Thu May 27 21:54:56 UTC 2021","34342","","Interactive Book","","","","Add interactive book child topic (example #2)",""
"failed","Thu May 27 21:46:15 UTC 2021","Thu May 27 21:47:13 UTC 2021","57560","","Course Project","","","","Create new course project topic (example #1)",""
"failed","Thu May 27 21:54:50 UTC 2021","Thu May 27 21:55:40 UTC 2021","50233","","Course Project","","","","Assign course project topic to student (example #1)",""
"failed","Thu May 27 22:00:37 UTC 2021","Thu May 27 22:01:09 UTC 2021","32562","","Course Project","","","","Student see edited course project topic (example #1)",""
"passed","Thu May 27 21:46:20 UTC 2021","Thu May 27 21:46:58 UTC 2021","37415","","Interactive Book","","","","Create new interactive book topic (example #1)",""
"failed","Thu May 27 21:47:14 UTC 2021","Thu May 27 21:48:00 UTC 2021","46375","","EEM Complex","","","","Create new EEM Complex (example #3)",""
"failed","Thu May 27 22:04:01 UTC 2021","Thu May 27 22:04:44 UTC 2021","43119","","EEM Complex","","","","Delete EEM Complex (example #2)",""
"passed","Thu May 27 21:46:48 UTC 2021","Thu May 27 21:47:14 UTC 2021","25941","","EEM Complex","","","","Create new EEM Complex (example #2)",""
"passed","Thu May 27 21:46:37 UTC 2021","Thu May 27 21:47:00 UTC 2021","22945","","Graduation Project","","","","Create new graduation project topic (example #2)",""
